date,close,close_pos,where,sh,sl,vol_above_ib_pct,vol_below_ib_pct,ib_high,ib_low,poc,vah,val
2026-06-05,7391.25,0.066,LOW,7552.75,7379.75,0.0,68.5,7552.75,7505.75,7430.75,7439.5,7429.5
2026-06-08,7404.75,0.014,LOW,7476.75,7403.75,11.5,10.7,7469.5,7429.0,7436.75,7440.75,7434.75
2026-06-09,7391.75,0.593,MID,7491.0,7247.0,22.2,70.1,7417.0,7390.75,7355.25,7362.0,7347.5
2026-06-10,7276.0,0.005,LOW,7466.5,7275.0,2.7,69.9,7404.75,7335.25,7335.25,7346.25,7334.0
2026-06-11,7394.5,0.839,upper,7419.75,7263.0,35.1,8.8,7335.75,7283.0,7303.25,7413.0,7303.25
2026-06-12,7496.0,0.7,upper,7524.75,7429.0,100.0,0.0,7428.0,7366.5,7408.75,7418.75,7401.25
2026-06-15,7630.0,0.629,MID,7648.75,7598.25,57.9,0.0,7622.5,7598.25,7628.5,7648.5,7577.0
2026-06-16,7588.0,0.098,LOW,7636.5,7582.75,0.0,50.8,7636.5,7612.0,7634.0,7636.5,7625.5
2026-06-17,7492.0,0.15,LOW,7604.25,7472.25,,,,,,,
2026-06-18,7564.5,0.627,MID,7581.75,7535.5,0.0,0.0,7581.75,7535.5,7566.5,7571.25,7564.0
2026-06-19,7557.0,0.207,lower,7568.5,7554.0,28.5,0.0,7563.75,7554.0,7554.75,7559.75,7554.75
