Pattern,Trend_Normal,Trend_DD,Neutral_Extreme,Variation,Neutral_Center,Normal,Nontrend
REACTIVE_LONG,REDUCED 3/2/1,REDUCED 4/3/0,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
REACTIVE_SHORT,REDUCED 4/3/0,REDUCED 4/3/0,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
INITIATIVE_LONG,FULL 4/3/2,FULL 4/3/2,SKIP 0/0/0,FULL 4/3/2,SKIP 0/0/0,SKIP 0/0/0,SKIP 0/0/0
INITIATIVE_SHORT,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0,FULL 5/4/3,SKIP 0/0/0,SKIP 0/0/0,SKIP 0/0/0
INVERSE_HNS_LONG,SKIP 0/0/0,SKIP 0/0/0,FULL 5/4/3,REDUCED 3/2/1,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
HNS_TOP_SHORT,SKIP 0/0/0,SKIP 0/0/0,FULL 5/4/3,REDUCED 4/3/2,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
DOUBLE_BOTTOM_EE_LONG,SKIP 0/0/0,SKIP 0/0/0,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
DOUBLE_TOP_AA_SHORT,SKIP 0/0/0,SKIP 0/0/0,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,FULL 5/4/3,SKIP 0/0/0
BULL_FLAG_LONG,FULL 5/4/3,FULL 5/4/3,REDUCED 4/4/0,FULL 4/3/3,SKIP 0/0/0,REDUCED 4/4/0,SKIP 0/0/0
BEAR_FLAG_SHORT,FULL 5/4/3,FULL 5/4/3,REDUCED 4/4/0,FULL 5/4/3,SKIP 0/0/0,REDUCED 3/2/1,SKIP 0/0/0
