[env_loader] applied 327 vars from /Users/michael/Downloads/mems26_web_git/.env | HFE_DISABLED=1 NONTREND_DISABLE_ALL=1 DIRECTION_LSMA_VETO=1 S1_NEW_CLASSIFIER=1 ZLR_SPEC_V2=1 VEGAS_SPEC_V2=1 DAYTYPE_POSITION_GATE=0 DAYTYPE_PLAYBOOK=1
Wrote /Users/michael/Downloads/mems26_web_git/harness_out/setups/hits.json (153 hits)

Setup Engine Report — T-411
Total hits: 153

  DBL_BOTTOM_ABS:
    N=87  LONG=52  SHORT=35
    phases: {'D': 33, 'C': 52, 'B': 2}
    trades=71  avg $/trade=-2.75  total=-195.15

  ROTATION_BREAK:
    N=66  LONG=27  SHORT=39
    phases: {'D': 25, 'C': 39, 'B': 2}
    trades=51  avg $/trade=-0.21  total=-10.70

session      setup                dir   trigger     entry      stop        T1        T2    $/trade
-----------------------------------------------------------------------------------------------
2026-06-15   DBL_BOTTOM_ABS       SHORT 22:25    7625.00   7636.50   7610.38   7608.25     -45.10
2026-06-24   DBL_BOTTOM_ABS       SHORT 18:05    7481.25   7496.75   7464.50   7414.00       skip
2026-06-25   DBL_BOTTOM_ABS       LONG  20:55    7429.50   7410.25   7440.25   7456.00       skip
2026-06-25   DBL_BOTTOM_ABS       LONG  21:15    7443.75   7408.00   7467.50   7490.50       skip
2026-06-25   ROTATION_BREAK       LONG  21:15    7443.75   7408.00   7462.75   7467.50       skip
2026-06-25   DBL_BOTTOM_ABS       LONG  21:25    7454.25   7408.00   7467.50   7490.50       skip
2026-06-25   DBL_BOTTOM_ABS       LONG  22:55    7428.50   7408.50   7440.25   7440.75       skip
2026-06-29   DBL_BOTTOM_ABS       SHORT 22:50    7492.75   7500.75   7467.12   7458.75     -27.60
2026-06-30   DBL_BOTTOM_ABS       SHORT 17:45    7526.25   7542.00   7511.38   7495.75       skip
2026-06-30   DBL_BOTTOM_ABS       SHORT 20:10    7553.75   7559.75   7511.38   7500.25     -62.60
2026-06-30   DBL_BOTTOM_ABS       SHORT 22:25    7561.50   7568.00   7511.38   7500.25      97.40
2026-07-01   DBL_BOTTOM_ABS       SHORT 18:30    7570.75   7578.75   7553.25   7501.50     -82.60
2026-07-01   DBL_BOTTOM_ABS       SHORT 22:25    7553.75   7562.00   7553.25   7524.25      -0.10
2026-07-01   ROTATION_BREAK       SHORT 22:25    7553.75   7562.00   7552.25   7524.25       4.90
2026-07-01   DBL_BOTTOM_ABS       SHORT 22:35    7552.50   7562.00   7524.25   7521.50     202.40
2026-07-02   ROTATION_BREAK       SHORT 20:00    7488.50   7514.00   7481.75   7465.75       skip
2026-07-02   ROTATION_BREAK       SHORT 20:35    7487.00   7502.25   7480.50   7469.75       skip
2026-07-02   DBL_BOTTOM_ABS       LONG  21:05    7504.00   7479.50   7533.25   7553.75       skip
2026-07-02   ROTATION_BREAK       SHORT 22:00    7495.75   7515.00   7483.25   7482.00       skip
2026-07-06   DBL_BOTTOM_ABS       SHORT 19:25    7585.75   7591.25   7563.12   7561.50     -57.60
2026-07-06   DBL_BOTTOM_ABS       SHORT 20:30    7582.25   7595.00   7563.12   7561.50    -130.10
2026-07-07   DBL_BOTTOM_ABS       LONG  22:30    7549.00   7536.50   7566.00   7574.00      37.40
2026-07-07   DBL_BOTTOM_ABS       LONG  22:50    7554.75   7536.50   7566.00   7574.00       skip
2026-07-07   ROTATION_BREAK       LONG  22:50    7554.75   7536.50   7562.75   7566.00       skip
2026-07-08   DBL_BOTTOM_ABS       LONG  19:00    7487.00   7469.00   7513.25   7524.75       skip
2026-07-08   ROTATION_BREAK       LONG  20:20    7529.75   7510.75   7539.50   7566.75       skip
2026-07-08   DBL_BOTTOM_ABS       SHORT 20:35    7528.00   7536.75   7513.25   7493.50      19.90
2026-07-08   DBL_BOTTOM_ABS       SHORT 20:40    7524.75   7536.75   7513.25   7493.50     -12.60
2026-07-09   ROTATION_BREAK       LONG  22:15    7587.50   7580.75   7591.00   7596.00       7.40
2026-07-09   DBL_BOTTOM_ABS       SHORT 22:50    7582.75   7589.25   7548.38   7547.25     -67.60
2026-07-09   ROTATION_BREAK       SHORT 22:50    7582.75   7589.25   7577.50   7548.38     -67.60
2026-07-13   DBL_BOTTOM_ABS       LONG  20:40    7571.50   7563.25   7586.50   7592.50     -85.10
2026-07-14   DBL_BOTTOM_ABS       SHORT 22:00    7589.50   7598.50   7576.25   7571.25      -2.60
2026-07-15   ROTATION_BREAK       LONG  19:45    7610.50   7593.25   7616.50   7619.00       skip
2026-07-20   DBL_BOTTOM_ABS       LONG  19:45    7506.00   7498.75   7510.00   7533.00      17.40
2026-07-30   ROTATION_BREAK       LONG  20:00    7453.75   7430.75   7460.50   7475.25       skip
2026-07-30   DBL_BOTTOM_ABS       SHORT 20:30    7449.00   7456.75   7419.88   7404.50     -80.10
