ct,open,high,low,close,volume,cumulative_delta,vah,val,poc_vol
2026-04-16 08:30:00,7127,7127,7122.5,7125.75,19,-7,0,0,0
2026-04-21 14:45:00,7148,7156.75,7146.75,7153.25,29,-71,0,0,0
2026-04-21 14:50:00,7160,7160,7149,7150.25,11,-57,0,0,0
2026-04-21 14:55:00,7153.25,7159.25,7152.25,7154.25,20,14,0,0,0
2026-04-27 11:30:00,7249.5,7250.5,7249.5,7250.5,4,-57,0,0,0
2026-04-27 11:35:00,7252.25,7252.75,7251.75,7251.75,5,-57,0,0,0
2026-04-27 11:40:00,7252,7252,7252,7252,2,0,0,0,0
2026-04-30 11:30:00,7261,7262,7259.75,7260.75,5,-3,0,0,0
2026-04-30 11:35:00,7258.5,7258.5,7258.5,7258.5,1,-1,0,0,0
2026-04-30 11:40:00,7261,7261,7257.75,7257.75,4,0,0,0,0
2026-05-07 08:30:00,7399.25,7400.25,7393.25,7394,20310,-2612,7372,7364.25,250
2026-05-07 08:35:00,7393.75,7395,7391,7393.5,16029,-3396,7367.75,7360.75,153
2026-05-07 08:40:00,7393.75,7394.5,7390.25,7391,13388,-7124,7366.5,7362.75,153
2026-05-07 08:45:00,7391,7393,7384.25,7385,25622,-6370,7369.75,7365.75,146
2026-05-07 08:50:00,7385.25,7389,7383.75,7388.75,15826,-6283,7367.25,7361.25,105
2026-05-07 08:55:00,7388.75,7391.5,7385.5,7387.75,17943,-2238,7363.5,7359,116
2026-05-07 09:00:00,7387.5,7394.25,7387.25,7394,18073,-1568,7363.75,7360.75,173
2026-05-07 09:05:00,7393.75,7397.5,7392,7395.5,18774,-2247,7365,7361,138
2026-05-07 09:10:00,7395.5,7396.75,7393.25,7393.5,12061,-2850,7369.75,7365.25,156
2026-05-07 09:15:00,7393.25,7396,7388.75,7394,21483,-603,7368.75,7366.25,161
2026-05-07 09:20:00,7394,7399,7393.5,7394.5,15807,1945,7462.25,7445,387
2026-05-07 09:25:00,7394.5,7397.5,7394.25,7396.5,3837,463,7447,7438.75,624
2026-05-11 08:30:00,7410.25,7424.75,7410.25,7424.75,32064,36,7449.25,7437.75,417
2026-05-11 14:00:00,7489.5,7491.25,7489.5,7490.25,7,46,0,0,0
2026-05-11 14:05:00,7489.5,7493.75,7489.5,7493.75,8,46,0,0,0
2026-05-11 14:10:00,7493.75,7495.25,7491,7491,8,0,0,0,0
2026-05-12 08:30:00,7414.25,7417.5,7406.75,7408.75,31593,-2041,0,0,0
2026-05-13 08:30:00,7429.25,7429.5,7416.75,7420.25,31011,-2543,0,0,0
2026-05-14 08:30:00,7481,7492.75,7479.75,7492.25,28069,13,0,0,0
2026-05-14 11:10:00,7536.25,7538.25,7533.5,7534,6898,140,0,0,0
2026-05-14 11:15:00,7534,7538,7534,7534.75,6460,137,0,0,0
2026-05-14 11:20:00,7534.75,7538,7530.75,7530.75,8696,131,0,0,0
2026-05-15 10:30:00,7516.5,7519,7511.75,7514.75,14,2,0,0,0
2026-05-15 10:35:00,7511.25,7511.25,7510.25,7510.25,3,-3,0,0,0
2026-05-15 10:40:00,7507.25,7510,7498,7499,46,2,0,0,0
2026-05-18 08:30:00,7438.25,7440.75,7424.75,7425.5,31004,-3132,0,0,0
2026-05-18 09:55:00,7421.75,7426,7420,7423,13244,-13734,0,0,0
2026-05-18 10:00:00,7423,7430.5,7407.75,7413,45162,-14253,0,0,0
2026-05-18 10:05:00,7412.5,7416.75,7407.5,7408,18103,-14031,0,0,0
2026-05-19 08:30:00,7445.5,7450.75,7439.25,7445.25,86,18,0,0,0
2026-05-19 09:25:00,7366,7370.25,7360.25,7363.25,24293,-19,0,0,0
2026-05-19 09:30:00,7363.25,7371.75,7359,7361.75,25648,-23,0,0,0
2026-05-19 09:35:00,7361.75,7371,7361.5,7369,18210,-14,0,0,0
2026-05-19 09:55:00,7417.25,7427.75,7416.5,7426.75,116,-44,0,0,0
2026-05-19 10:00:00,7428.25,7432,7425,7431.75,60,-49,0,0,0
2026-05-19 10:05:00,7430.25,7431.5,7423.75,7424,9,-45,0,0,0
2026-05-19 13:15:00,7466.75,7466.75,7463,7465,10,37,0,0,0
2026-05-19 13:20:00,7463.5,7463.5,7456.75,7460,11,30,0,0,0
2026-05-19 13:25:00,7457.75,7463.25,7456.75,7458,11,-7,0,0,0
