id,pattern_id_at_entry,direction,day_type_at_entry,session_at_entry,entry_ts,entry_price,stop,t1,t2,t3,t1_hit_ts,t2_hit_ts,t3_hit_ts,stop_hit_ts,exit_ts,exit_price,exit_reason,pnl_usd,pnl_r,outcome,quality
10,,SHORT,Variation,,2026-06-05 21:15:27.515329+03:00,7444.0,7443.75,7428.75,7413.5,0.0,2026-06-05 21:30:00+03:00,2026-06-05 21:45:00+03:00,,2026-06-08 14:10:00+03:00,2026-06-08 14:10:00+03:00,7443.75,STOP_HIT,230.0,1.18,WIN,"{'trigger': 'BEAR_FLAG_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'BEAR_FLAG_SHORT', 'variant': None, 'stop_initial': 7457.03125, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7457.03125, 'pattern_name': 'BEAR_FLAG_SHORT', 'classification': 'BEAR_FLAG_SHORT'}"
13,,SHORT,Variation,,2026-06-05 22:05:04.876070+03:00,7414.25,7414.0,7410.5,7404.875,0.0,2026-06-05 22:10:00+03:00,2026-06-05 22:10:00+03:00,,2026-06-08 11:00:00+03:00,2026-06-08 11:00:00+03:00,7414.0,STOP_HIT,66.88,1.19,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7418.0, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7418.0, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
22,ZLR,SHORT,Variation,,2026-06-09 19:00:03.516907+03:00,7313.5,7349.75,7259.375,7205.25,,,,,,2026-06-09 19:26:01.849789+03:00,7313.5,manual,0.0,0.0,BE,"{'trigger': 'BEAR_FLAG_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'BEAR_FLAG_SHORT', 'variant': None, 'stop_initial': 7349.75, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'BEAR_FLAG_SHORT', 'classification': 'BEAR_FLAG_SHORT'}"
33,ZLR,SHORT,Trend_Normal,,2026-06-11 17:15:03.180888+03:00,7297.75,7297.5,7284.35,7230.75,,2026-06-11 17:55:00+03:00,,,2026-06-11 18:10:00+03:00,2026-06-11 18:10:00+03:00,7297.5,STOP_HIT,69.5,0.14,WIN,"{'review': {'by': 'michael', 't1': 7305.75, 't2': 7319, 't3': 7334.5, 'ts': '2026-06-15T09:06:40.013196+00:00', 'dir': 'SHORT', 'pat': 'REACTIVE_SHORT', 'entry': 7325.25, 'stop1': 7260.75, 'stop2': 7269.5, 'stop3': 7282.75, 'day_type': 'Trend_Normal'}, 'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7331.25, 'variants_passed': ['A_VSA', 'B_RVOL', 'C_STRICT']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7331.25, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
43,VEGAS,LONG,Variation,,2026-06-11 19:15:01.819776+03:00,7318.0,7295.5,7327.0,7363.0,,,,,2026-06-11 19:30:00+03:00,2026-06-11 19:30:00+03:00,7295.5,STOP_HIT,-337.5,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7295.5, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
71,INITIATIVE_LONG,LONG,,,2026-06-12 18:22:44.141487+03:00,7453.0,7453.25,7457.5,7462.0,,2026-06-12 18:25:00+03:00,,,2026-06-12 18:30:00+03:00,2026-06-12 18:30:00+03:00,7453.25,STOP_HIT,25.0,0.37,WIN,"{'trigger': 'INITIATIVE_LONG', 'day_type': None, 'metadata': {'sizing': 1, 'pattern': 'INITIATIVE_LONG', 'variant': None, 'stop_initial': 7448.5, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7448.5, 'pattern_name': 'INITIATIVE_LONG', 'classification': 'INITIATIVE_LONG'}"
73,INITIATIVE_SHORT,SHORT,Variation,,2026-06-12 18:45:03.030899+03:00,7426.5,7426.25,7419.19,7404.0,,2026-06-12 18:50:00+03:00,,,2026-06-12 18:50:00+03:00,2026-06-12 18:50:00+03:00,7426.25,STOP_HIT,39.05,0.23,WIN,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7437.75, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7437.75, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
74,INITIATIVE_SHORT,SHORT,Variation,,2026-06-12 18:50:04.879045+03:00,7412.5,7416.5,7408.5,7404.5,,,,,2026-06-12 18:55:00+03:00,2026-06-12 18:55:00+03:00,7416.5,STOP_HIT,-60.0,-1.0,LOSS,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7416.5, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
75,INITIATIVE_SHORT,SHORT,,,2026-06-12 18:58:23.659857+03:00,7416.5,7416.25,7409.19,7394.0,,2026-06-12 19:00:00+03:00,,,2026-06-12 19:10:00+03:00,2026-06-12 19:10:00+03:00,7416.25,STOP_HIT,39.05,0.23,WIN,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7427.75, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7427.75, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
77,REACTIVE_SHORT,SHORT,Normal,,2026-06-12 19:00:02.844956+03:00,7406.0,7427.75,7397.3,7362.5,,,,,2026-06-12 19:10:00+03:00,2026-06-12 19:10:00+03:00,7427.75,STOP_HIT,-326.25,-1.0,LOSS,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7427.75, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
80,REACTIVE_LONG,LONG,Variation,,2026-06-12 20:05:00.484138+03:00,7437.0,7419.25,7445.88,7472.5,,,,,2026-06-12 22:35:00+03:00,2026-06-12 22:35:00+03:00,7419.25,STOP_HIT,-266.25,-1.0,LOSS,"{'review': {'by': 'michael', 'ts': '2026-06-15T09:06:40.023500+00:00', 'dir': 'LONG', 'pat': 'REACTIVE_LONG', 'note': 'זיהוי מאוחר - כניסה הייתה צריכה להיות ב 12:55 עם הסטוף הזה ולקבל יעד רווח ראשון ב vah ולהזיז סטופ', 'day_type': 'Variation', 'no_entry': True}, 'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'B_RVOL', 'stop_initial': 7419.25, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
81,REACTIVE_LONG,LONG,Variation,,2026-06-12 20:20:04.935915+03:00,7442.5,7428.25,7451.76,7471.0,,,,,2026-06-12 20:55:00+03:00,2026-06-12 20:55:00+03:00,7428.25,STOP_HIT,-213.75,-1.0,LOSS,"{'review': {'by': 'michael', 't1': 7447, 't2': 7441.75, 't3': 7436, 'ts': '2026-06-15T09:06:40.032075+00:00', 'dir': 'LONG', 'pat': 'REACTIVE_LONG', 'note': 'לא הייתי נכנס מאחר והווליום הקולמטיב החל לרדת הנר לא הצליח ללפרוץ גם אם הייתי נכנס הייתי יוצא ברגע שראיתי אאת הנר השני - כלומר הסטופ היה צריך לעבור אאחרי 2 הנרות השליליים למצומצם - גם חשוב לזהות איזה היום זהה \n', 'entry': 7431.75, 'stop1': 7413.5, 'stop2': 7419, 'stop3': 7431.75, 'day_type': 'Variation', 'no_entry': True}}"
